date,temperature,humidity,luminosity
2020-12-02 15:55:21.357,21.9,24.4,117
2020-12-02 15:55:19.080,21.9,24.4,117
2020-12-02 15:55:16.802,21.9,24.4,117
2020-12-02 15:55:14.524,21.9,24.4,117
2020-12-02 15:55:12.247,21.9,24.4,117
2020-12-02 15:55:09.969,21.9,24.4,117
2020-12-02 15:55:07.687,21.9,24.4,117
2020-12-02 15:55:05.410,21.9,24.3,117
2020-12-02 15:55:03.132,22.0,24.4,117
2020-12-02 15:55:00.854,22.0,24.4,117
2020-12-02 15:54:58.577,22.0,24.4,117
2020-12-02 15:54:56.299,22.0,24.4,117
2020-12-02 15:54:54.017,22.0,24.4,117
2020-12-02 15:54:51.740,22.0,24.4,117
2020-12-02 15:54:49.462,22.0,24.4,118
2020-12-02 15:54:47.184,22.0,24.3,117
2020-12-02 15:54:44.907,22.0,24.3,117
2020-12-02 15:54:42.629,22.0,24.3,117
2020-12-02 15:54:40.347,22.0,24.3,117
2020-12-02 15:54:38.070,22.0,24.3,117
2020-12-02 15:54:35.792,22.0,24.3,117
2020-12-02 15:54:33.515,22.0,24.3,117
2020-12-02 15:54:31.237,22.1,24.4,117
2020-12-02 15:54:28.959,22.1,24.4,117
2020-12-02 15:54:26.677,22.1,24.4,117
2020-12-02 15:54:24.400,22.1,24.4,117
2020-12-02 15:54:22.122,22.1,24.4,117
2020-12-02 15:54:19.845,22.1,24.4,117
2020-12-02 15:54:17.567,22.1,24.4,117
2020-12-02 15:54:15.289,22.1,24.4,117
2020-12-02 15:54:13.008,22.1,24.4,117
2020-12-02 15:54:10.730,22.1,24.4,118
2020-12-02 15:54:08.452,22.1,24.4,118
2020-12-02 15:54:06.175,22.1,24.4,117
2020-12-02 15:54:03.897,22.1,24.4,117
2020-12-02 15:54:01.619,22.1,24.4,117
2020-12-02 15:53:59.342,22.1,24.4,118
2020-12-02 15:53:57.060,22.1,24.4,117
2020-12-02 15:53:54.782,22.1,24.4,117
2020-12-02 15:53:52.505,22.1,24.4,118
2020-12-02 15:53:50.227,22.1,24.4,118
2020-12-02 15:53:47.949,22.1,24.4,118
2020-12-02 15:53:45.672,22.1,24.4,117
2020-12-02 15:53:43.390,22.1,24.4,117
2020-12-02 15:53:41.112,22.1,24.4,117
2020-12-02 15:53:38.835,22.1,24.4,118
2020-12-02 15:53:36.556,22.1,24.4,116
2020-12-02 15:53:34.279,22.1,24.4,119
2020-12-02 15:53:32.001,22.1,24.4,117
2020-12-02 15:53:29.719,22.1,24.4,117
2020-12-02 15:53:27.442,22.1,24.4,117
2020-12-02 15:53:25.164,22.1,24.4,117
2020-12-02 15:53:22.886,22.1,24.4,117
2020-12-02 15:53:20.609,22.1,24.4,117
2020-12-02 15:53:18.331,22.1,24.4,117
2020-12-02 15:53:16.049,22.1,24.4,117
2020-12-02 15:53:13.772,22.2,24.4,117
2020-12-02 15:53:11.494,22.2,24.4,117
2020-12-02 15:53:09.216,22.2,24.4,117
2020-12-02 15:53:06.939,22.2,24.4,116
2020-12-02 15:53:04.661,22.2,24.4,117
2020-12-02 15:53:02.379,22.2,24.4,117
2020-12-02 15:53:00.102,22.2,24.5,117
2020-12-02 15:52:57.824,22.2,24.5,118
2020-12-02 15:52:55.546,22.2,24.5,118
2020-12-02 15:52:53.269,22.2,24.5,118
2020-12-02 15:52:50.991,22.2,24.5,117
2020-12-02 15:52:48.709,22.2,24.5,117
2020-12-02 15:52:46.432,22.2,24.5,118
2020-12-02 15:52:44.154,22.2,24.5,115
2020-12-02 15:52:41.876,22.2,24.5,117
2020-12-02 15:52:39.599,22.2,24.5,118
2020-12-02 15:52:37.321,22.2,24.5,117
2020-12-02 15:52:35.040,22.2,24.5,117
2020-12-02 15:52:32.762,22.2,24.5,117
2020-12-02 15:52:30.485,22.2,24.5,117
2020-12-02 15:52:28.207,22.2,24.5,118
2020-12-02 15:52:25.929,22.2,24.5,117
2020-12-02 15:52:23.648,22.2,24.5,117
2020-12-02 15:52:21.370,22.2,24.5,117
2020-12-02 15:52:19.092,22.2,24.6,117
2020-12-02 15:52:16.815,22.2,24.6,117
2020-12-02 15:52:14.537,22.2,24.6,118
2020-12-02 15:52:12.259,22.1,24.5,117
2020-12-02 15:52:09.978,22.1,24.5,118
2020-12-02 15:52:07.700,22.1,24.5,117
2020-12-02 15:52:05.422,22.1,24.5,117
2020-12-02 15:52:03.145,22.1,24.5,117
2020-12-02 15:52:00.867,22.1,24.5,117
2020-12-02 15:51:58.585,22.1,24.5,117
2020-12-02 15:51:56.307,22.1,24.5,118
2020-12-02 15:51:54.030,22.0,24.4,118
2020-12-02 15:51:51.752,22.0,24.4,117
2020-12-02 15:51:49.475,22.0,24.4,118
2020-12-02 15:51:47.197,22.0,24.4,118
2020-12-02 15:51:44.919,22.0,24.4,118
2020-12-02 15:51:42.638,22.0,24.4,117
